case_id,model,industry,subject,scene,score,status,notes,image
STEM-10,wan2.7-image,Education,Engineering,Series circuit,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_STEM-10.png
MKT-01,qwen-image-2.0-pro,Advertising & E-commerce,Skincare,Premium serum hero (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-01.png
MKT-01,wan2.7-image,Advertising & E-commerce,Skincare,Premium serum hero (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-01.png
MKT-02,qwen-image-2.0-pro,Advertising & E-commerce,Consumer electronics,Wireless headphones launch ad (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-02.png
MKT-02,wan2.7-image,Advertising & E-commerce,Consumer electronics,Wireless headphones launch ad (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-02.png
MKT-03,qwen-image-2.0-pro,Advertising & E-commerce,Footwear,Running shoe action banner (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-03.png
MKT-03,wan2.7-image,Advertising & E-commerce,Footwear,Running shoe action banner (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-03.png
MKT-04,qwen-image-2.0-pro,Advertising & E-commerce,Coffee,Artisanal coffee product page (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-04.png
MKT-04,wan2.7-image,Advertising & E-commerce,Coffee,Artisanal coffee product page (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-04.png
MKT-05,qwen-image-2.0-pro,Advertising & E-commerce,Home appliance,Smart air purifier lifestyle (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-05.png
MKT-05,wan2.7-image,Advertising & E-commerce,Home appliance,Smart air purifier lifestyle (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-05.png
MKT-06,qwen-image-2.0-pro,Advertising & E-commerce,Marketplace,Product comparison carousel (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-06.png
MKT-06,wan2.7-image,Advertising & E-commerce,Marketplace,Product comparison carousel (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-06.png
MKT-07,qwen-image-2.0-pro,Advertising & E-commerce,Fashion accessories,Luxury watch ad (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-07.png
MKT-07,wan2.7-image,Advertising & E-commerce,Fashion accessories,Luxury watch ad (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-07.png
MKT-08,qwen-image-2.0-pro,Advertising & E-commerce,Food delivery,App campaign key visual (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-08.png
MKT-09,qwen-image-2.0-pro,Advertising & E-commerce,Multilingual ad,Japanese skincare poster (Japanese),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-09.png
MKT-09,wan2.7-image,Advertising & E-commerce,Multilingual ad,Japanese skincare poster (Japanese),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-09.png
MKT-10,qwen-image-2.0-pro,Advertising & E-commerce,Multilingual ad,French fragrance poster (French),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-10.png
MKT-10,wan2.7-image,Advertising & E-commerce,Multilingual ad,French fragrance poster (French),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-10.png
MKT-11,qwen-image-2.0-pro,Advertising & E-commerce,Multilingual ad,Spanish sneaker sale banner (Spanish),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-11.png
MKT-11,wan2.7-image,Advertising & E-commerce,Multilingual ad,Spanish sneaker sale banner (Spanish),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-11.png
MKT-13,qwen-image-2.0-pro,Advertising & E-commerce,Multilingual ad,Chinese home appliance poster (Chinese),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_MKT-13.png
MKT-13,wan2.7-image,Advertising & E-commerce,Multilingual ad,Chinese home appliance poster (Chinese),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-13.png
MKT-14,wan2.7-image,Advertising & E-commerce,Social commerce,UGC lifestyle ad frame (English),4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_MKT-14.png
FTV-02,qwen-image-2.0-pro,Film & TV,US prestige drama,Cinematic interrogation storyboard,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-02.png
FTV-02,wan2.7-image,Film & TV,US prestige drama,Cinematic interrogation storyboard,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-02.png
FTV-03,qwen-image-2.0-pro,Film & TV,Chinese short drama,Vertical costume microdrama poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-03.png
FTV-03,wan2.7-image,Film & TV,Chinese short drama,Vertical costume microdrama poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-03.png
FTV-04,qwen-image-2.0-pro,Film & TV,Chinese donghua,Donghua xianxia character line art sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-04.png
FTV-04,wan2.7-image,Film & TV,Chinese donghua,Donghua xianxia character line art sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-04.png
FTV-06,qwen-image-2.0-pro,Film & TV,Japanese live-action drama,Rainy station drama still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-06.png
FTV-06,wan2.7-image,Film & TV,Japanese live-action drama,Rainy station drama still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-06.png
FTV-07,qwen-image-2.0-pro,Film & TV,Korean drama,K-drama character poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-07.png
FTV-07,wan2.7-image,Film & TV,Korean drama,K-drama character poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-07.png
FTV-08,qwen-image-2.0-pro,Film & TV,British period drama,Manor house candlelit production still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-08.png
FTV-08,wan2.7-image,Film & TV,British period drama,Manor house candlelit production still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-08.png
FTV-09,qwen-image-2.0-pro,Film & TV,Latin American telenovela,Telenovela relationship poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-09.png
FTV-09,wan2.7-image,Film & TV,Latin American telenovela,Telenovela relationship poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-09.png
FTV-10,qwen-image-2.0-pro,Film & TV,African diaspora drama,Afrofuturist limited series scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-10.png
FTV-10,wan2.7-image,Film & TV,African diaspora drama,Afrofuturist limited series scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-10.png
FTV-13,qwen-image-2.0-pro,Film & TV,Animation props,Transparent background fantasy prop sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-13.png
FTV-13,wan2.7-image,Film & TV,Animation props,Transparent background fantasy prop sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-13.png
FTV-01,qwen-image-2.0-pro,Film & TV,American superhero comics,Superhero character production turnaround,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-01.png
FTV-01,wan2.7-image,Film & TV,American superhero comics,Superhero character production turnaround,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-01.png
FTV-05,qwen-image-2.0-pro,Film & TV,Japanese sports anime,Basketball anime team key visual,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-05.png
FTV-12,qwen-image-2.0-pro,Film & TV,Indian streaming thriller,Monsoon thriller prop-and-scene board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-12.png
FTV-12,wan2.7-image,Film & TV,Indian streaming thriller,Monsoon thriller prop-and-scene board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-12.png
FTV-14,qwen-image-2.0-pro,Film & TV,Storyboard from references,Scene storyboard contact sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-14.png
FTV-14,wan2.7-image,Film & TV,Storyboard from references,Scene storyboard contact sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-14.png
FTV-15,qwen-image-2.0-pro,Film & TV,Turkish dizi,Historic waterfront romance key art,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-15.png
FTV-16,qwen-image-2.0-pro,Film & TV,Nollywood family drama,Lagos ensemble family poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-16.png
FTV-16,wan2.7-image,Film & TV,Nollywood family drama,Lagos ensemble family poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-16.png
FTV-17,qwen-image-2.0-pro,Film & TV,Bollywood musical,Song sequence costume color board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-17.png
FTV-17,wan2.7-image,Film & TV,Bollywood musical,Song sequence costume color board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-17.png
FTV-19,qwen-image-2.0-pro,Film & TV,Indonesian horror,Rural supernatural horror still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-19.png
FTV-19,wan2.7-image,Film & TV,Indonesian horror,Rural supernatural horror still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-19.png
FTV-20,qwen-image-2.0-pro,Film & TV,Filipino romantic comedy,Manila rom-com streaming thumbnail,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-20.png
FTV-20,wan2.7-image,Film & TV,Filipino romantic comedy,Manila rom-com streaming thumbnail,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-20.png
FTV-21,qwen-image-2.0-pro,Film & TV,Nordic noir,Detective evidence wall and cold exterior,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-21.png
FTV-21,wan2.7-image,Film & TV,Nordic noir,Detective evidence wall and cold exterior,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-21.png
FTV-22,qwen-image-2.0-pro,Film & TV,French auteur drama,Paris apartment natural-light scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-22.png
FTV-22,wan2.7-image,Film & TV,French auteur drama,Paris apartment natural-light scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-22.png
FTV-23,qwen-image-2.0-pro,Film & TV,German sci-fi,Near-future transit VFX concept plate,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-23.png
FTV-23,wan2.7-image,Film & TV,German sci-fi,Near-future transit VFX concept plate,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-23.png
FTV-24,qwen-image-2.0-pro,Film & TV,Spanish heist thriller,Mask and costume prop sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-24.png
FTV-24,wan2.7-image,Film & TV,Spanish heist thriller,Mask and costume prop sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-24.png
FTV-25,qwen-image-2.0-pro,Film & TV,Brazilian favela drama,Rio night exterior scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-25.png
FTV-25,wan2.7-image,Film & TV,Brazilian favela drama,Rio night exterior scene,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-25.png
FTV-26,qwen-image-2.0-pro,Film & TV,Mexican supernatural mystery,Day of the Dead mystery poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-26.png
FTV-27,qwen-image-2.0-pro,Film & TV,Native American contemporary drama,Reservation community center still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-27.png
FTV-27,wan2.7-image,Film & TV,Native American contemporary drama,Reservation community center still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-27.png
FTV-28,qwen-image-2.0-pro,Film & TV,Australian Aboriginal mystery,Outback procedural key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-28.png
FTV-28,wan2.7-image,Film & TV,Australian Aboriginal mystery,Outback procedural key frame,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-28.png
FTV-29,qwen-image-2.0-pro,Film & TV,Maori fantasy adventure,Creature and hero concept sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-29.png
FTV-30,qwen-image-2.0-pro,Film & TV,Caribbean pirate drama,Ship deck lighting variants,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-30.png
FTV-30,wan2.7-image,Film & TV,Caribbean pirate drama,Ship deck lighting variants,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-30.png
FTV-31,qwen-image-2.0-pro,Film & TV,Arab Gulf luxury drama,Dubai corporate family poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-31.png
FTV-32,qwen-image-2.0-pro,Film & TV,Israeli political thriller,Control room ensemble still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-32.png
FTV-32,wan2.7-image,Film & TV,Israeli political thriller,Control room ensemble still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-32.png
FTV-33,qwen-image-2.0-pro,Film & TV,Egyptian historical epic,Ancient city set extension concept,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-33.png
FTV-33,wan2.7-image,Film & TV,Egyptian historical epic,Ancient city set extension concept,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-33.png
FTV-34,qwen-image-2.0-pro,Film & TV,Persian historical romance,Court costume texture sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-34.png
FTV-34,wan2.7-image,Film & TV,Persian historical romance,Court costume texture sheet,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-34.png
FTV-35,qwen-image-2.0-pro,Film & TV,Queer coming-of-age,Prom night ensemble poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-35.png
FTV-35,wan2.7-image,Film & TV,Queer coming-of-age,Prom night ensemble poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-35.png
FTV-36,qwen-image-2.0-pro,Film & TV,Children's preschool animation,Animal town character lineup,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-36.png
FTV-36,wan2.7-image,Film & TV,Children's preschool animation,Animal town character lineup,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-36.png
FTV-37,qwen-image-2.0-pro,Film & TV,Stop-motion animation,Miniature bedroom set design,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-37.png
FTV-37,wan2.7-image,Film & TV,Stop-motion animation,Miniature bedroom set design,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-37.png
FTV-38,qwen-image-2.0-pro,Film & TV,High fantasy streaming series,Ensemble character height chart,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-38.png
FTV-38,wan2.7-image,Film & TV,High fantasy streaming series,Ensemble character height chart,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-38.png
FTV-39,qwen-image-2.0-pro,Film & TV,Orbital rescue drama,VFX cockpit and ocean planet plate,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-39.png
FTV-39,wan2.7-image,Film & TV,Orbital rescue drama,VFX cockpit and ocean planet plate,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-39.png
FTV-40,qwen-image-2.0-pro,Film & TV,Post-apocalyptic survival,Costume weathering and prop board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-40.png
FTV-40,wan2.7-image,Film & TV,Post-apocalyptic survival,Costume weathering and prop board,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-40.png
FTV-41,qwen-image-2.0-pro,Film & TV,Documentary reenactment,Historical docudrama courtroom still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-41.png
FTV-41,wan2.7-image,Film & TV,Documentary reenactment,Historical docudrama courtroom still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-41.png
FTV-42,qwen-image-2.0-pro,Film & TV,Cooking competition reality,Studio set and contestant key visual,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-42.png
FTV-42,wan2.7-image,Film & TV,Cooking competition reality,Studio set and contestant key visual,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-42.png
FTV-43,qwen-image-2.0-pro,Film & TV,Music competition,Stage lighting social banner,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-43.png
FTV-43,wan2.7-image,Film & TV,Music competition,Stage lighting social banner,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-43.png
FTV-44,qwen-image-2.0-pro,Film & TV,True crime podcast adaptation,Evidence object macro key art,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-44.png
FTV-44,wan2.7-image,Film & TV,True crime podcast adaptation,Evidence object macro key art,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-44.png
FTV-45,qwen-image-2.0-pro,Film & TV,Polish crime drama,Warsaw winter crime still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-45.png
FTV-45,wan2.7-image,Film & TV,Polish crime drama,Warsaw winter crime still,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-45.png
FTV-46,qwen-image-2.0-pro,Film & TV,Italian family saga,Sicilian family dinner blocking,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-46.png
FTV-46,wan2.7-image,Film & TV,Italian family saga,Sicilian family dinner blocking,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/wan2.7-image_FTV-46.png
FTV-47,qwen-image-2.0-pro,Film & TV,Greek island mystery,Island harbor suspect board poster,4,kept,Passed visual production audit: no obvious objective blocker in contact-sheet review.,assets/qwen-image-2.0-pro_FTV-47.png
