collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,model_reference_url,source_url,notes,tags
Fashion,Fashion,FSH-11,Runway design,Seoul minimalist red-carpet editorial,2048*2048,true,true,"low quality, distorted hands, extra limbs, readable text, Korean letters, sponsor wall, logos, watermark, copied celebrity, copied designer brand, fake skin","Photorealistic red-carpet fashion editorial for a Korean drama premiere, no real celebrities. A Korean actress model wearing an ivory satin column gown with a single sculptural shoulder fold, subtle pearl earrings, and low bun hairstyle. Use a plain warm gray step-and-repeat inspired backdrop with no words, no symbols, no sponsor marks, and no signage. Elegant posture, realistic satin highlights, natural skin texture, 70mm lens, soft camera flash reflections, no readable text, no logos.",,,,,Red-carpet + K-drama fashion market.,Fashion; Runway; Red carpet; Korean; Womenswear; Editorial; Satin
Fashion,Fashion,FSH-12,Runway design,Paris magazine-cover couture with multilingual masthead stress,2048*2048,true,true,"low quality, distorted face, distorted hands, extra limbs, unreadable text, logos, watermark, copied designer brand, misspelled large text, fake skin","Create a photorealistic high-fashion magazine cover style image, original fictional publication, Paris couture mood. A Black French model in a deep emerald velvet tailored gown stands against a limestone studio arch, sophisticated posture, natural skin texture, balanced editorial lighting, luxury styling. Add one clean fictional masthead at the top with exact readable text: MODE / STYLE / 风格 / スタイル. No real magazine names, no brand logos, no extra text.",,,,,Multilingual text auxiliary test with fictional masthead.,Fashion; Editorial; Magazine cover; Multilingual; French; Black model; Womenswear; Text test
Fashion,Fashion,FSH-13,Runway design,Mumbai couture bridal-look editorial,2048*2048,true,true,"low quality, distorted hands, extra limbs, unreadable text, logos, watermark, copied designer brand, cultural costume errors, fake jewelry","Photorealistic luxury fashion editorial inspired by contemporary Indian couture, not a wedding documentary and not copying any designer. A South Asian female model in a modern ruby and antique-gold lehenga silhouette with refined embroidery, sheer dupatta draped naturally, studio backdrop with warm sandstone tones. Accurate jewelry scale, realistic textile weight, graceful pose, editorial lighting, no logos, no text.",,,,,Indian couture and textile detail test.,Fashion; Editorial; South Asian; Indian couture; Womenswear; Jewelry; Textile detail
Fashion,Fashion,FSH-14,Modest luxury fashion,Middle Eastern abaya couture editorial,2048*2048,true,true,"low quality, distorted hands, extra limbs, unreadable text, logos, watermark, copied designer brand, inaccurate modest wear, fake skin","Photorealistic luxury modest-fashion editorial. A Middle Eastern woman wearing a contemporary black silk abaya with matte and glossy panel contrast, pearl-trimmed cuffs, and a soft beige hijab, standing in a modern gallery with warm stone and brushed metal surfaces. Elegant full-length pose, fabric opacity correct, no body-revealing errors, natural face and hands, commercial editorial lighting, no logos, no text.",,,,,Modest luxury fashion scenario.,Fashion; Editorial; Modest fashion; Middle Eastern; Womenswear; Abaya; Luxury
Fashion,Fashion,FSH-15,Luxury jewelry macro,Diamond ring campaign macro,2048*2048,true,true,"low quality, distorted gemstones, fake plastic metal, dust, scratches, unreadable text, logos, watermark, extra stones, melted prongs","Photorealistic luxury jewelry macro campaign image using the reference diamond ring as product inspiration. A platinum solitaire ring with a clear round diamond on a matte ivory stone surface, controlled black-card reflections, precise prongs, realistic sparkle without overdone starbursts, shallow depth of field, focus stacking feel, 100mm macro lens, premium catalog retouching, no text, no logos.",https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/5/56/Diamond_ring_%28top_down_view%29_%282374464703%29.jpg,,https://images.weserv.nl/?url=upload.wikimedia.org/wikipedia/commons/5/56/Diamond_ring_%28top_down_view%29_%282374464703%29.jpg,https://commons.wikimedia.org/wiki/File:Diamond_ring_(top_down_view)_(2374464703).jpg,Jewelry macro production test.,Fashion; Jewelry; Luxury; Macro; Product; Ring; Reference
Fashion,Fashion,FSH-16,Luxury jewelry product,Gold necklace museum-to-campaign upgrade,2048*2048,true,true,"low quality, distorted necklace, fake metal, melted links, dust, scratches, unreadable text, logos, watermark, unrealistic reflections","Photorealistic high-end jewelry product image inspired by Greek gold fringe necklace museum pieces. Place a refined gold necklace on a warm charcoal velvet bust form, controlled side lighting, soft amber reflection, every link and pendant aligned naturally with gravity, premium jewelry catalog composition, accurate gold color, clean background, no text, no logos.",,,,https://commons.wikimedia.org/wiki/File:Gold_necklace_MET_DP336810.jpg,Gold necklace campaign test without model-side reference because remote source blocks image download.,Fashion; Jewelry; Luxury; Necklace; Product; Macro
Fashion,Fashion,FSH-17,Luxury accessory product,Leather handbag hero packshot,2048*2048,true,true,"low quality, distorted bag, warped handle, fake leather, unreadable text, logos, watermark, copied brand monogram, extra straps","Photorealistic luxury handbag product hero shot, original design with no brand marks. A structured cognac leather top-handle bag on a pale travertine plinth, three-quarter front view, precise stitching, natural leather grain, brushed gold hardware, soft rectangular studio highlights, subtle shadow, ample clean negative space for advertising crop, no text, no logos.",,,,,Accessory packshot for luxury image value.,Fashion; Accessories; Luxury; Handbag; Product; Packshot; Leather
Fashion,Fashion,FSH-18,Luxury accessory close-up,Silk scarf and sunglasses flat lay,2048*2048,true,true,"low quality, distorted glasses, fake silk, unreadable text, logos, watermark, copied brand pattern, harsh reflections","Photorealistic luxury accessory flat lay. A hand-rolled silk scarf with an original abstract teal, coral, and ivory pattern lies beside glossy black oval sunglasses and a small gold hair clip on brushed limestone. Top-down composition, controlled reflections on lenses, visible silk weave and rolled hem, premium editorial styling, no brand logos, no readable text.",,,,,Accessories and material close-up.,Fashion; Accessories; Luxury; Flat lay; Sunglasses; Silk scarf; Product
Fashion,Fashion,FSH-19,Footwear e-commerce,Sneaker multi-angle product board,2048*2048,true,true,"low quality, distorted shoes, mismatched pairs, unreadable text, logos, watermark, copied brand, impossible sole geometry","Create a photorealistic e-commerce footwear product board showing one original off-white and moss-green lifestyle sneaker in four clean views on a white background: side profile, 45-degree front, heel view, and sole detail. Consistent shoe design across all views, accurate laces, stitching, rubber sole texture, soft studio shadows, no text, no logos.",,,,,Footwear angle coverage test.,Fashion; Footwear; E-commerce; Product board; Multi-angle; Sneakers
Fashion,Fashion,FSH-20,Material swatch board,Fabric and trim sourcing board with multilingual labels,2048*2048,true,true,"low quality, messy layout, tiny unreadable labels, misspelled labels, extra labels, brand logos, watermark, fake fabric texture, cluttered desk","Photorealistic fashion production material board on a neutral worktable, arranged as a clean 2-by-3 grid of large swatch cards with generous spacing. Six swatches only: wool, denim, silk, leather, recycled nylon, metal zipper. Print one large crisp label below each swatch using these exact short labels: WOOL, DENIM, SILK, ??, ???, ???. Realistic textile texture, overhead camera, commercial design studio lighting, no brand logos, no extra words.",,,,,Production sourcing and multilingual label test.,Fashion; Production; Materials; Swatches; Multilingual; Textile; Design board; Text test
Fashion,Fashion,FSH-21,Lookbook campaign,Latin American resortwear lookbook,2048*2048,true,true,"low quality, distorted hands, fake skin, warped clothes, unreadable text, logos, watermark, copied designer brand","Photorealistic resortwear lookbook image for a Latin American coastal brand. An Afro-Latina model and a Latino male model walk along a white stucco terrace at golden hour, wearing airy linen separates in terracotta, cream, and sea-blue. Natural wind in fabric, authentic relaxed expressions, realistic skin tones, commercial lifestyle composition, 50mm lens, no logos, no text.",,,,,Regional lifestyle fashion campaign.,Fashion; Lookbook; Latin America; Resortwear; Multi-model; Lifestyle; Linen
Fashion,Fashion,FSH-22,Youth fashion campaign,Chinese Gen-Z city commute styling,2048*2048,true,true,"low quality, distorted hands, fake skin, warped clothes, unreadable text, logos, watermark, copied brand, cartoon style","Photorealistic Chinese Gen-Z city commute fashion campaign. Two young Chinese models on a Shanghai pedestrian overpass at blue hour, one wearing a cropped technical jacket with pleated skirt and sneakers, the other wearing a relaxed blazer with wide-leg trousers and crossbody bag. Neon reflections kept soft and realistic, candid street-fashion energy, sharp garment detail, no readable signs, no logos.",,,,,China youth fashion/location campaign.,Fashion; Lookbook; China; Gen-Z; Street style; Multi-model; Location
Fashion,Fashion,FSH-23,Plus-size eveningwear,Inclusive red-carpet gown look,2048*2048,true,true,"low quality, distorted hands, fake skin, unrealistic body proportions, warped dress, unreadable text, logos, watermark","Photorealistic inclusive red-carpet fashion portrait. A plus-size Indigenous North American woman with warm brown skin tone and long dark hair, wearing a midnight-blue velvet evening gown with elegant long sleeves and subtle beadwork inspired by geometric motifs, standing on a quiet red-carpet entrance. Natural confident pose, realistic fabric weight, respectful contemporary styling, soft flash lighting, no text, no logos.",,,,,Inclusive luxury eveningwear scenario.,Fashion; Red carpet; Plus-size; Indigenous; Womenswear; Eveningwear; Inclusive
Fashion,Fashion,FSH-24,Backstage production,Couture fitting room workflow,2048*2048,true,true,"low quality, distorted hands, extra fingers, fake skin, warped clothing, unreadable text, logos, watermark, chaotic layout","Photorealistic backstage couture fitting room workflow. A diverse small team of stylists and tailors adjust a structured silver gown on a tall dark-skinned model in front of mirrors and garment racks. Pins, measuring tape, muslin pattern pieces, and fabric bolts visible, but no readable brand names. Warm practical lights, candid documentary composition, realistic hands and fabric handling, production-environment credibility, no text.",,,,,Full-chain fashion production workflow image.,Fashion; Production; Backstage; Couture fitting; Workflow; Diverse team; Documentary
