collection,industry,case_id,subject,scene,size,prompt_extend,thinking_mode,negative_prompt,prompt,reference_image,reference_url,source_url,notes
Film & TV,Film & TV,FTV-25,Brazilian favela drama,Rio night exterior scene,2368*1728,true,true,"low quality, stereotype, sensationalized violence, fake text, distorted faces, overdone neon","Create a respectful cinematic still for a Brazilian urban drama in Rio de Janeiro. A young Afro-Brazilian community organizer walks through a hillside neighborhood at night after a power outage, neighbors with flashlights in windows, distant city lights, grounded realism, dignity, social drama tone, no weapons, no text, no logos.",,,https://time.com/6075019/the-house-of-flowers-telenovela/,"Brazilian urban drama realism and social context."
Film & TV,Film & TV,FTV-26,Mexican supernatural mystery,Day of the Dead mystery poster,1536*2688,true,true,"low quality, stereotype, fake Spanish, skull overload, copied actor, extra text","Create a vertical poster for a Mexican supernatural mystery series. A Mexican forensic photographer stands in a quiet cemetery during Día de Muertos dawn, marigold paths, family candles, faint ghostly silhouette in the background, elegant mystery tone, respectful cultural detail. Include exactly one Spanish title: Las Luces del Alba. No other text or logos.",,,https://time.com/6075019/the-house-of-flowers-telenovela/,"Mexican genre poster and Spanish title test."
Film & TV,Film & TV,FTV-27,Native American contemporary drama,Reservation community center still,2368*1728,true,true,"low quality, stereotype, ceremonial cliché, fake text, distorted faces, costume inaccuracies","Create a realistic production still for a contemporary Native American family drama. Inside a reservation community center basketball court, a young Indigenous coach talks quietly with a teenage player after practice, elders watching from folding chairs, lived-in gym details, warm overhead lights, respectful modern wardrobe, no text, no logos.",,,https://www.cinegeist.com/,"Indigenous contemporary drama scene."
Film & TV,Film & TV,FTV-28,Australian Aboriginal mystery,Outback procedural key frame,2368*1728,true,true,"low quality, stereotype, fake symbols, distorted landscape, police cliché, extra text","Create a cinematic key frame for an Australian outback mystery series. An Aboriginal detective and a young forensic ranger examine tire tracks near a dry riverbed at sunrise, red earth, practical field gear, respectful contemporary depiction, wide anamorphic composition, natural light, no text, no logos.",,,https://senalnews.com/en/data/global-production-americas-and-emea-lean-towards-prestige-ip-and-factual/amp,"Australian Indigenous procedural key frame."
Film & TV,Film & TV,FTV-29,Maori fantasy adventure,Creature and hero concept sheet,2048*2048,true,true,"low quality, cultural misuse, fake tattoos, text labels, annotation boxes, letters, words, inconsistent creature, copied fantasy IP","Create a respectful fantasy adventure visual-development sheet inspired by Aotearoa landscapes without using sacred markings or real tribal designs. Show a young Māori navigator in practical woven-and-leather travel clothing beside a friendly river-spirit creature made of mist and stone. Use clean white background, full-body poses, scale comparison by size only. Absolutely no labels, no annotation boxes, no letters, no words.",,,https://www.artella.com/index.php/the-animation-production-pipeline/,"Fantasy character plus creature concept sheet."
Film & TV,Film & TV,FTV-30,Caribbean pirate drama,Ship deck lighting variants,2048*2048,true,true,"low quality, copied pirate franchise, fake text, messy ship rigging, distorted faces, overfantasy","Create a production lighting study for an original Caribbean pirate drama. Four square panels show the same ship deck scene with a Black Caribbean captain and mixed crew: dawn fog, noon sun, storm dusk, lantern night. Historically inspired but original wardrobe, practical ship details, consistent blocking, no captions, no text, no logos.",,,https://www.cinegeist.com/,"Lighting variation board for the same scene."
Film & TV,Film & TV,FTV-31,Arab Gulf luxury drama,Dubai corporate family poster,1536*2688,true,true,"low quality, stereotype, fake Arabic, excessive luxury cliché, copied celebrity, extra text","Create a vertical poster for an Arab Gulf corporate family drama. A Gulf Arab businesswoman in elegant modern modest fashion stands in a glass boardroom overlooking Dubai at sunset, two rival relatives reflected behind her, premium family power struggle tone. Include exactly one Arabic title: ميراث الرمل. No subtitle, no logos, no other text.",,,https://www.streamingmediaglobal.com/PressRelease/FAST-TREND-REPORT-2026_57373.aspx,"Gulf drama poster and Arabic title stress test."
Film & TV,Film & TV,FTV-32,Israeli political thriller,Control room ensemble still,2368*1728,true,true,"low quality, fake Hebrew labels, partisan symbols, distorted faces, sensationalism, extra text","Create a realistic production still for an Israeli political thriller in a crisis control room. A diverse team of analysts, journalists, and negotiators watches blank monitor walls during a tense overnight briefing, practical fluorescent lighting, documentary realism, morally complex tone, no readable text, no flags, no logos.",,,https://senalnews.com/en/data/global-production-americas-and-emea-lean-towards-prestige-ip-and-factual/amp,"Political thriller ensemble scene without text."
Film & TV,Film & TV,FTV-33,Egyptian historical epic,Ancient city set extension concept,2368*1728,true,true,"low quality, orientalist cliché, fake hieroglyph text, copied movie, bad architecture, extra text","Create a production concept image for an Egyptian historical epic set in an ancient riverside city. Practical foreground set with merchants, scribes, linen costumes, boats on the Nile, and a believable digital set extension of temples in the distance. Museum-informed detail, warm dust light, no readable hieroglyphs, no text, no logos.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"Historical set extension concept."
Film & TV,Film & TV,FTV-34,Persian historical romance,Court costume texture sheet,2048*2048,true,true,"low quality, fake labels, distorted fabric, copied costume, extra text, messy layout","Create a costume texture sheet for a Persian historical romance series. Arrange eight close-up fabric and accessory studies: embroidered robe sleeve, silk sash, turquoise ring, leather boots, veil edge, brass hair ornament, manuscript pouch, patterned cloak. Rich but realistic materials, clean spacing on warm neutral background, no labels, no text.",,,https://www.artella.com/index.php/the-animation-production-pipeline/,"Costume department material-detail board."
Film & TV,Film & TV,FTV-35,Queer coming-of-age,Prom night ensemble poster,1536*2688,true,true,"low quality, tokenism, fake text, distorted faces, generic stock photo, extra text","Create a vertical poster for a queer coming-of-age streaming series. A diverse group of high school seniors stand outside a community center prom at twilight, including Black, Latino, Asian, white, trans, and disabled teens, authentic styling, joyful but grounded emotion, fairy lights, realistic photography. Include exactly one English title: After the Last Song. No extra text.",,,https://www.keyartanddesign.com/,"Inclusive ensemble key art."
Film & TV,Film & TV,FTV-36,Children's preschool animation,Animal town character lineup,2048*2048,true,true,"low quality, copied cartoon, scary faces, text labels, inconsistent style, clutter","Create a preschool animation character lineup on a clean white background. Six original friendly animal neighbors from a small town: fox mail carrier, bear baker, rabbit inventor, turtle librarian, otter firefighter, sparrow musician. Simple appealing shapes, soft colors, consistent proportions, front-facing poses, production-ready spacing, no text, no logos.",,,https://www.artella.com/index.php/the-animation-production-pipeline/,"Children's animation character lineup."
Film & TV,Film & TV,FTV-37,Stop-motion animation,Miniature bedroom set design,2368*1728,true,true,"low quality, CGI plastic look, fake labels, messy miniature scale, copied film style, text","Create a stop-motion animation set design photo of a miniature child's attic bedroom built from paper, wood, fabric, and tiny practical props. Moonlight through round window, handmade textures, visible scale charm, carefully dressed shelves, warm practical lamp, production workshop realism, no text, no logos.",,,https://www.artella.com/index.php/the-animation-production-pipeline/,"Stop-motion set design and handmade material test."
Film & TV,Film & TV,FTV-38,High fantasy streaming series,Ensemble character height chart,2048*2048,true,true,"low quality, copied fantasy IP, text labels, inconsistent scale, distorted weapons, messy background","Create a high fantasy streaming series ensemble height chart on white background. Six original characters: elderly queen, young mapmaker, mountain warrior, desert healer, forest scout, sea captain. Full-body front poses, distinct silhouettes, practical costume cultures, consistent scale, blank base line only, no labels, no text, no logos.",,,https://www.artella.com/index.php/the-animation-production-pipeline/,"Character height chart and silhouette diversity."
Film & TV,Film & TV,FTV-39,Orbital rescue drama,VFX cockpit and ocean planet plate,2368*1728,true,true,"low quality, copied sci-fi franchise, fake display text, distorted cockpit, overbusy design, logos, famous spaceship","Create a VFX concept frame for an original orbital rescue drama. Two pilots with different ethnic backgrounds sit in a practical near-future spacecraft cockpit with blank glowing displays, looking toward a massive blue ocean planet outside the window. Realistic set pieces, controlled lens flare, grounded streaming drama tone, no readable text, no logos, no franchise references.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"Sci-fi cockpit plate and production design."
Film & TV,Film & TV,FTV-40,Post-apocalyptic survival,Costume weathering and prop board,2048*2048,true,true,"low quality, zombie cliché, fake labels, gore, copied franchise, text","Create a costume weathering and prop board for an original post-apocalyptic survival drama. Clean arranged objects: patched jacket, dust-covered boots, hand-crank radio, water filter, seed tin, repaired backpack, family photo with blank face detail, field notebook with no readable writing. Realistic wear, neutral background, no labels, no text.",,,https://www.cgspectrum.com/blog/the-visual-effects-pipeline,"Props and wardrobe realism."
Film & TV,Film & TV,FTV-41,Documentary reenactment,Historical docudrama courtroom still,2368*1728,true,true,"low quality, fake text, sensationalism, modern objects, distorted faces, courtroom cliché","Create a historically grounded docudrama reenactment still in a 1960s civil rights courtroom. Black attorney, Latina journalist, white judge, and community witnesses are arranged in tense but realistic blocking. Period-accurate wardrobe, natural film grain, respectful documentary tone, blank documents only, no readable text, no logos.",,,https://www.cinegeist.com/,"Docudrama reenactment realism."
Film & TV,Film & TV,FTV-42,Cooking competition reality,Studio set and contestant key visual,2368*1728,true,true,"low quality, fake brand logos, unreadable signage, distorted food, copied show format, text","Create a key visual for an original cooking competition reality series. Diverse contestants cook at individual stations in a bright studio kitchen, judges observing from a clean counter, colorful ingredients, steam, realistic food styling, polished unscripted TV energy. Keep all signage and aprons blank, no logos, no text.",,,https://www.keyartanddesign.com/,"Unscripted TV promo and set design."
Film & TV,Film & TV,FTV-43,Music competition,Stage lighting social banner,2368*1728,true,true,"low quality, fake logo, unreadable text, copied show, distorted instruments, overexposed lights","Create a 16:9 social media banner for an original music competition finale. A South Asian singer, Black guitarist, Latina drummer, and East Asian keyboardist perform on a modern stage, dramatic beams, audience silhouettes, premium broadcast lighting. Leave large clean negative space on the left for later title overlay. No text, no logos.",,,https://www.keyartanddesign.com/,"Digital campaign banner with negative-space overlay."
Film & TV,Film & TV,FTV-44,True crime podcast adaptation,Evidence object macro key art,1536*2688,true,true,"low quality, gore, title typography, fake newspaper text, readable documents, sensationalism, copied poster, logo","Create a vertical key art image for a true-crime podcast adaptation using objects only. Macro tabletop still life: cassette recorder, motel key, rain-speckled window reflection, sealed evidence bag with completely blank label, half-empty coffee, soft police lights outside. Tense restrained mood, realistic photography. No title, no typography, no readable text, no gore, no logos.",,,https://www.keyartanddesign.com/,"Key art using objects instead of faces."
