collection,industry,case_id,subject,scene,model,status,image,prompt,reference_image,reference_url,tags
Education,Education,HUM-08,Russian,Beginner dialogue,wan2.7-image,ok,assets/wan2.7-image_HUM-08.png,"Create a Russian beginner textbook illustration. Two classmates meet at a school entrance in autumn and greet each other. Include exactly two large speech bubbles with crisp readable Russian Cyrillic text. Left bubble exact text: A: Привет! Как дела? Right bubble exact text: B: Хорошо, спасибо. А у тебя? No other text anywhere in the image. Cyrillic characters must be clear and accurate.",,,Education; Russian; Text verified; Multilingual; Reviewed
Education,Education,STEM-01,Mathematics,Quadratic function diagram,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-01.png,"Create a clean mathematics textbook diagram of a quadratic function on a coordinate grid. Show exactly one smooth upward-opening parabola with vertex at (2, -1), roots at (1, 0) and (3, 0), and y-intercept at (0, 3). Add crisp readable labels only: y = x² - 4x + 3, roots: (1, 0), (3, 0), vertex: (2, -1), axis: x = 2. No other text. Geometry must match the labels.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-01,Mathematics,Quadratic function diagram,wan2.7-image,ok,assets/wan2.7-image_STEM-01.png,"Create a clean mathematics textbook diagram of a quadratic function on a coordinate grid. Show exactly one smooth upward-opening parabola with vertex at (2, -1), roots at (1, 0) and (3, 0), and y-intercept at (0, 3). Add crisp readable labels only: y = x² - 4x + 3, roots: (1, 0), (3, 0), vertex: (2, -1), axis: x = 2. No other text. Geometry must match the labels.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-01A,Mathematics,"Quadratic diagram, no grid",qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-01A.png,"Create a clean mathematics teaching diagram on a plain white background, no grid. Show one smooth upward-opening parabola with vertex below the x-axis, two x-intercepts, and a dashed vertical symmetry line. Add only these short crisp labels: y = x? - 4x + 3, vertex, roots, axis: x = 2. No extra words. No misspellings. Curve and key points must be mathematically consistent.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-01A,Mathematics,"Quadratic diagram, no grid",wan2.7-image,ok,assets/wan2.7-image_STEM-01A.png,"Create a clean mathematics teaching diagram on a plain white background, no grid. Show one smooth upward-opening parabola with vertex below the x-axis, two x-intercepts, and a dashed vertical symmetry line. Add only these crisp labels: y = x² - 4x + 3, vertex, roots, axis of symmetry. No extra words, no pseudo text. Curve and key points must be mathematically consistent.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-01B,Mathematics,"Quadratic diagram, orderly grid",qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-01B.png,"Create a clean ordered-grid mathematics worksheet diagram. Show one smooth upward-opening parabola for y = x² - 4x + 3 with vertex (2, -1), roots (1, 0) and (3, 0), y-intercept (0, 3), and dashed axis x = 2. Use red points and blue curve. Add crisp readable labels for these items only. No extra text. All labels must match the geometry.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-01B,Mathematics,"Quadratic diagram, orderly grid",wan2.7-image,ok,assets/wan2.7-image_STEM-01B.png,"Create a clean ordered-grid mathematics worksheet diagram. Show one smooth upward-opening parabola for y = x² - 4x + 3 with vertex (2, -1), roots (1, 0) and (3, 0), y-intercept (0, 3), and dashed axis x = 2. Use red points and blue curve. Add crisp readable labels for these items only. No extra text. All labels must match the geometry.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-02,Mathematics,Text-free quadratic diagram,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-02.png,"Create a clear quadratic function diagram for a school textbook. Include a coordinate grid, one upward-opening blue parabola, red key points, and readable labels: x-axis, y-axis, vertex, roots, axis of symmetry. Do not include formulas or extra notes. The parabola must be symmetric and the vertex must sit on the axis of symmetry.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-02,Mathematics,Text-free quadratic diagram,wan2.7-image,ok,assets/wan2.7-image_STEM-02.png,"Create a clear labeled quadratic graph for a school textbook. Show y = x? only. One upward-opening parabola with vertex exactly at the origin, x-axis and y-axis crossing at the vertex, and dashed vertical axis x = 0. Add only these labels: y = x?, vertex (0,0), x-axis, y-axis, axis: x = 0. No roots labels. No extra text. Geometry must match y = x?.",,,Education; Mathematics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-03,Physics,Free-body diagram,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-03.png,"Create a correct labeled free-body diagram of a block on a ramp. The ramp slopes upward to the right. The block is sliding down the ramp toward the lower left. Draw exactly four arrows from one black dot at the block center. Labels must be large and crisp: mg vertical down, N perpendicular up-left, f parallel up-right, Fnet parallel down-left. At the base of the ramp write the Greek theta symbol exactly: ?. Do not use a question mark. No duplicate arrows. No extra text.",,,Education; Physics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-03,Physics,Free-body diagram,wan2.7-image,ok,assets/wan2.7-image_STEM-03.png,"Create a correct physics free-body diagram of a block on an inclined plane sloping upward to the right. Draw exactly four arrows from one center dot on the block. Label them with short crisp labels only: mg vertical downward, N perpendicular outward from the plane, f up the slope, Fnet down the slope. Add angle label ? at the base. No other arrows. No duplicate labels. Force directions must be physically correct.",,,Education; Physics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-04,Physics,Text-free free-body diagram,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-04.png,"Create a correct physics free-body diagram of a block on an inclined plane sloping upward to the right. Draw exactly four arrows from one center dot on the block. Label them with short crisp labels only: mg vertical downward, N perpendicular outward from the plane, f up the slope, Fnet down the slope. Add angle label ? at the base. No other arrows. No duplicate labels. Force directions must be physically correct.",,,Education; Physics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-04,Physics,Text-free free-body diagram,wan2.7-image,ok,assets/wan2.7-image_STEM-04.png,"Create a correct labeled free-body diagram of a block on a ramp. The ramp slopes upward to the right. The block is sliding down the ramp toward the lower left. Draw exactly four arrows from one black dot at the block center. Labels must be large and crisp: mg vertical down, N perpendicular up-left, f parallel up-right, Fnet parallel down-left. At the base of the ramp write the Greek theta symbol exactly: ?. Do not use a question mark. No duplicate arrows. No extra text.",,,Education; Physics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-05,Physics,Electromagnetic induction,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-05.png,"Create a correct physics education diagram of electromagnetic induction. Show a bar magnet moving into a copper solenoid coil connected to a galvanometer. Magnetic field lines leave N and enter S. Current arrows appear in the circuit. Add crisp labels only: N, S, motion, coil, induced current, galvanometer. No extra text. Circuit must be connected and physically plausible.",,,Education; Physics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-05,Physics,Electromagnetic induction,wan2.7-image,ok,assets/wan2.7-image_STEM-05.png,"Create a correct physics education diagram of electromagnetic induction. Show a bar magnet moving into a copper solenoid coil connected to a galvanometer. Magnetic field lines leave N and enter S. Current arrows appear in the circuit. Add crisp labels only: N, S, motion, coil, induced current, galvanometer. No extra text. Circuit must be connected and physically plausible.",,,Education; Physics; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-06,Chemistry,SN2 reaction mechanism,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-06.png,"Create a clean organic chemistry textbook diagram of an SN2 reaction mechanism. Three panels left to right. Panel 1: OH⁻ nucleophile attacks CH₃Cl from the backside opposite Cl. Panel 2: transition state with partial bonds to OH and Cl. Panel 3: CH₃OH product plus Cl⁻ leaving group with inversion. Add crisp readable labels only: OH⁻, CH₃Cl, transition state, CH₃OH, Cl⁻, backside attack, inversion. Curved arrows must show electron movement correctly. No extra text.",,,Education; Chemistry; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-06,Chemistry,SN2 reaction mechanism,wan2.7-image,ok,assets/wan2.7-image_STEM-06.png,Create a clean organic chemistry textbook diagram of an SN2 reaction mechanism. Three panels left to right. Use very short crisp labels only. Panel 1 label: OH? + CH?Cl. Show OH? attacking carbon from the backside opposite Cl. Panel 2 label: transition state. Show dashed bonds to OH and Cl. Panel 3 label: CH?OH + Cl? and inversion. Curved arrows must show electron movement correctly. No extra text. No misspellings.,,,Education; Chemistry; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-07,Biology,Animal cell diagram,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-07.png,"Create a biologically accurate animal cell diagram for a high-school textbook. Show plasma membrane, nucleus, nucleolus, mitochondria, rough ER, smooth ER, Golgi apparatus, ribosomes, lysosomes, cytoplasm, and cytoskeleton. Add crisp readable leader-line labels for each term. Do not show plant cell wall or chloroplasts. No misspellings, no extra pseudo text.",,,Education; Biology; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-07,Biology,Animal cell diagram,wan2.7-image,ok,assets/wan2.7-image_STEM-07.png,"Create a simple accurate animal cell diagram for a high-school textbook. Use only five large readable labels: membrane, nucleus, mitochondria, Golgi, ribosomes. Do not show plant cell wall or chloroplasts. No other labels, no pseudo text, no misspellings.",,,Education; Biology; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-10,Engineering,Series circuit,qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_STEM-10.png,"Create a correct high-school engineering series circuit diagram. Show one closed loop containing a battery, switch, resistor, lamp, connecting wires, and conventional current arrows. All components must be in series on a single path, not parallel. Add crisp readable labels only: battery, switch, resistor, lamp, conventional current. No extra text.",,,Education; Engineering; STEM; Text verified; Science verified; Reviewed
Education,Education,STEM-10,Engineering,Series circuit,wan2.7-image,ok,assets/wan2.7-image_STEM-10.png,"Create a correct high-school engineering series circuit diagram. Show one closed loop containing a battery, switch, resistor, lamp, connecting wires, and conventional current arrows. All components must be in series on a single path, not parallel. Add crisp readable labels only: battery, switch, resistor, lamp, conventional current. No extra text.",,,Education; Engineering; STEM; Text verified; Science verified; Reviewed
Advertising & E-commerce,Advertising & E-commerce,MKT-01,Skincare,Premium serum hero (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-01.png,"Use Image 1 as the exact product reference. Preserve the dropper bottle's tall narrow silhouette, white cap, glass body, and proportions. Create a premium skincare serum ecommerce hero image with soft warm-white studio lighting, a clean reflective surface, subtle water droplets, and minimal botanical props. Keep the same product recognizable. No brand logo, no readable text, leave blank space for later headline and label overlay.",assets/reference/MKT-01_reference.jpg,https://commons.wikimedia.org/wiki/File:Eye_Dropper_Bottle_1.jpg,Advertising & E-commerce; Skincare; Reference-driven; No-text production asset
Advertising & E-commerce,Advertising & E-commerce,MKT-01,Skincare,Premium serum hero (English),wan2.7-image,ok,assets/wan2.7-image_MKT-01.png,"Use Image 1 as the exact product reference. Preserve the dropper bottle's tall narrow silhouette, white cap, glass body, and proportions. Create a premium skincare serum ecommerce hero image with soft warm-white studio lighting, a clean reflective surface, subtle water droplets, and minimal botanical props. Keep the same product recognizable. No brand logo, no readable text, leave blank space for later headline and label overlay.",assets/reference/MKT-01_reference.jpg,https://commons.wikimedia.org/wiki/File:Eye_Dropper_Bottle_1.jpg,Advertising & E-commerce; Skincare; Reference-driven; No-text production asset
Advertising & E-commerce,Advertising & E-commerce,MKT-02,Consumer electronics,Wireless headphones launch ad (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-02.png,"Use Image 1 as the exact product reference. Preserve the headphones' over-ear shape, black finish, earcup proportions, and headband structure. Create a high-end ecommerce launch campaign visual on a dark graphite reflective surface with dramatic rim lighting and subtle blue accent light. Keep the product recognizable, do not redesign it. No logo emphasis, no readable text, negative space for headline.",assets/reference/MKT-02_reference.jpg,https://commons.wikimedia.org/wiki/File:Audio-Technica_ATH-M70x_Headphones.jpg,Advertising & E-commerce; Consumer electronics; Reference-driven
Advertising & E-commerce,Advertising & E-commerce,MKT-02,Consumer electronics,Wireless headphones launch ad (English),wan2.7-image,ok,assets/wan2.7-image_MKT-02.png,"Use Image 1 as the exact product reference. Preserve the headphones' over-ear shape, black finish, earcup proportions, and headband structure. Create a high-end ecommerce launch campaign visual on a dark graphite reflective surface with dramatic rim lighting and subtle blue accent light. Keep the product recognizable, do not redesign it. No logo emphasis, no readable text, negative space for headline.",assets/reference/MKT-02_reference.jpg,https://commons.wikimedia.org/wiki/File:Audio-Technica_ATH-M70x_Headphones.jpg,Advertising & E-commerce; Consumer electronics; Reference-driven
Advertising & E-commerce,Advertising & E-commerce,MKT-03,Footwear,Running shoe action banner (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-03.png,"Use Image 1 as the exact product reference. Preserve the shoe's color blocking, sole thickness, lace structure, and overall silhouette while removing brand emphasis. Create a dynamic ecommerce running-shoe campaign image with the shoe suspended mid-air, clean motion trails, light dust particles, and a bright studio background. Keep the original product appearance recognizable. No readable text, leave wide negative space for ad copy.",assets/reference/MKT-03_reference.jpg,https://commons.wikimedia.org/wiki/File:Salomon_trail_running_shoes_women_Speedcross.jpg,Advertising & E-commerce; Footwear; Reference-driven; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-03,Footwear,Running shoe action banner (English),wan2.7-image,ok,assets/wan2.7-image_MKT-03.png,"Use Image 1 as the exact product reference. Preserve the shoe's color blocking, sole thickness, lace structure, and overall silhouette while removing brand emphasis. Create a dynamic ecommerce running-shoe campaign image with the shoe suspended mid-air, clean motion trails, light dust particles, and a bright studio background. Keep the original product appearance recognizable. No readable text, leave wide negative space for ad copy.",assets/reference/MKT-03_reference.jpg,https://commons.wikimedia.org/wiki/File:Salomon_trail_running_shoes_women_Speedcross.jpg,Advertising & E-commerce; Footwear; Reference-driven; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-04,Coffee,Artisanal coffee product page (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-04.png,"Use Image 1 as the exact product reference. Preserve the upright paper coffee bag shape, kraft material, folds, and natural bag silhouette. Create a realistic ecommerce product-page image with the bag standing beside roasted coffee beans on a textured linen surface, natural morning window light, warm neutral tones, and shallow depth of field. Keep the product recognizable. No readable text, blank label area.",assets/reference/MKT-04_reference.jpg,https://commons.wikimedia.org/wiki/File:Coffee_Bag.jpg,Advertising & E-commerce; Coffee; Reference-driven; No-text production asset
Advertising & E-commerce,Advertising & E-commerce,MKT-04,Coffee,Artisanal coffee product page (English),wan2.7-image,ok,assets/wan2.7-image_MKT-04.png,"Use Image 1 as the exact product reference. Preserve the upright paper coffee bag shape, kraft material, folds, and natural bag silhouette. Create a realistic ecommerce product-page image with the bag standing beside roasted coffee beans on a textured linen surface, natural morning window light, warm neutral tones, and shallow depth of field. Keep the product recognizable. No readable text, blank label area.",assets/reference/MKT-04_reference.jpg,https://commons.wikimedia.org/wiki/File:Coffee_Bag.jpg,Advertising & E-commerce; Coffee; Reference-driven; No-text production asset
Advertising & E-commerce,Advertising & E-commerce,MKT-05,Home appliance,Smart air purifier lifestyle (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-05.png,"Create a realistic lifestyle ecommerce image for a fictional compact smart air purifier in a calm modern living room. Product sits near a sofa and a green plant, soft afternoon sunlight, clean interior styling, subtle airflow visualization, premium home wellness mood, no brand logo, no readable text. Keep the product clearly visible and centered enough for marketplace use.",,,Advertising & E-commerce; Home appliance
Advertising & E-commerce,Advertising & E-commerce,MKT-05,Home appliance,Smart air purifier lifestyle (English),wan2.7-image,ok,assets/wan2.7-image_MKT-05.png,"Create a realistic lifestyle ecommerce image for a fictional compact smart air purifier in a calm modern living room. Product sits near a sofa and a green plant, soft afternoon sunlight, clean interior styling, subtle airflow visualization, premium home wellness mood, no brand logo, no readable text. Keep the product clearly visible and centered enough for marketplace use.",,,Advertising & E-commerce; Home appliance
Advertising & E-commerce,Advertising & E-commerce,MKT-06,Marketplace,Product comparison carousel (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-06.png,"Create a clean ecommerce comparison carousel visual showing three fictional reusable water bottles in matte white, sage green, and midnight blue. Use a pure light gray studio background, consistent spacing, front-facing product angles, soft shadows, marketplace catalog style, no brand names, no readable text. Leave small blank label areas under each bottle for later price and feature overlays.",,,Advertising & E-commerce; Marketplace; No-text production asset
Advertising & E-commerce,Advertising & E-commerce,MKT-06,Marketplace,Product comparison carousel (English),wan2.7-image,ok,assets/wan2.7-image_MKT-06.png,"Create a clean ecommerce comparison carousel visual showing three fictional reusable water bottles in matte white, sage green, and midnight blue. Use a pure light gray studio background, consistent spacing, front-facing product angles, soft shadows, marketplace catalog style, no brand names, no readable text. Leave small blank label areas under each bottle for later price and feature overlays.",,,Advertising & E-commerce; Marketplace; No-text production asset
Advertising & E-commerce,Advertising & E-commerce,MKT-07,Fashion accessories,Luxury watch ad (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-07.png,"Use Image 1 as the exact product reference. Preserve the wristwatch case shape, dial layout, strap material, metal highlights, and proportions while avoiding visible brand emphasis. Create a luxury ecommerce advertising image on dark walnut wood with a black reflective backdrop, dramatic side lighting, and precise highlights on the metal. Keep the watch clearly recognizable. No readable text, leave upper-right negative space.",assets/reference/MKT-07_reference.jpg,https://commons.wikimedia.org/wiki/File:Fossil_wristwatch_with_white_background.jpg,Advertising & E-commerce; Fashion accessories; Reference-driven
Advertising & E-commerce,Advertising & E-commerce,MKT-07,Fashion accessories,Luxury watch ad (English),wan2.7-image,ok,assets/wan2.7-image_MKT-07.png,"Use Image 1 as the exact product reference. Preserve the wristwatch case shape, dial layout, strap material, metal highlights, and proportions while avoiding visible brand emphasis. Create a luxury ecommerce advertising image on dark walnut wood with a black reflective backdrop, dramatic side lighting, and precise highlights on the metal. Keep the watch clearly recognizable. No readable text, leave upper-right negative space.",assets/reference/MKT-07_reference.jpg,https://commons.wikimedia.org/wiki/File:Fossil_wristwatch_with_white_background.jpg,Advertising & E-commerce; Fashion accessories; Reference-driven
Advertising & E-commerce,Advertising & E-commerce,MKT-08,Food delivery,App campaign key visual (English),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-08.png,"Create a bright app marketing key visual for a fictional food delivery service. Show a smartphone mockup with a simplified blank app screen, colorful bowls of noodles, salad, and juice arranged around it, top-down composition, energetic but clean advertising style, no logos, no readable text. Leave space for a campaign headline.",,,Advertising & E-commerce; Food delivery; No-text production asset
Advertising & E-commerce,Advertising & E-commerce,MKT-09,Multilingual ad,Japanese skincare poster (Japanese),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-09.png,"Use Image 1 as the exact product reference. Preserve the round cream jar, open lid, cream texture, container color, and top-down product structure. Create a clean Japanese ecommerce beauty poster with soft white studio background, fresh water texture, and delicate blue accents. Keep the product recognizable. Do not render any text; leave a blank headline area for Japanese copy to be added later.",assets/reference/MKT-09_reference.jpg,https://commons.wikimedia.org/wiki/File:Cream_in_round_container.jpg,Advertising & E-commerce; Multilingual ad; Reference-driven; No-text production asset; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-09,Multilingual ad,Japanese skincare poster (Japanese),wan2.7-image,ok,assets/wan2.7-image_MKT-09.png,"Use Image 1 as the exact product reference. Preserve the round cream jar, open lid, cream texture, container color, and top-down product structure. Create a clean Japanese ecommerce beauty poster with soft white studio background, fresh water texture, and delicate blue accents. Keep the product recognizable. Do not render any text; leave a blank headline area for Japanese copy to be added later.",assets/reference/MKT-09_reference.jpg,https://commons.wikimedia.org/wiki/File:Cream_in_round_container.jpg,Advertising & E-commerce; Multilingual ad; Reference-driven; No-text production asset; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-10,Multilingual ad,French fragrance poster (French),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-10.png,"Create an elegant French ecommerce poster for a fictional unbranded perfume bottle on a pale stone surface with soft rose petals and diffused window light. Include exactly this French headline: ""Un parfum pour chaque matin"". No logo, no extra readable text. Premium beauty advertising layout, realistic commercial photography.",,,Advertising & E-commerce; Multilingual ad; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-10,Multilingual ad,French fragrance poster (French),wan2.7-image,ok,assets/wan2.7-image_MKT-10.png,"Create an elegant French ecommerce poster for a fictional unbranded perfume bottle on a pale stone surface with soft rose petals and diffused window light. Include exactly this French headline: ""Un parfum pour chaque matin"". No logo, no extra readable text. Premium beauty advertising layout, realistic commercial photography.",,,Advertising & E-commerce; Multilingual ad; Poster & Key Art
Advertising & E-commerce,Advertising & E-commerce,MKT-11,Multilingual ad,Spanish sneaker sale banner (Spanish),qwen-image-2.0-pro,ok,assets/qwen-image-2.0-pro_MKT-11.png,"Use Image 1 as the exact product reference. Preserve the shoe's color blocking, sole shape, lace structure, and silhouette while removing brand emphasis. Create a Spanish ecommerce campaign banner layout with warm orange and white studio background, energetic retail composition, and clean negative space for Spanish headline. Keep the product recognizable. No readable text.",assets/reference/MKT-11_reference.jpg,https://commons.wikimedia.org/wiki/File:Salomon_trail_running_shoes_women_Speedcross.jpg,Advertising & E-commerce; Multilingual ad; Reference-driven; Poster & Key Art
